"TIMESTAMP","RECORD","batt_volt_Min","radi_Avg","radi_Std"
"2019-08-14 15:20:20",120976,13.86,1.392,0.958
"2019-08-14 15:20:30",120977,13.86,97,61.66
"2019-08-14 15:20:40",120978,13.86,134.8,0.325
"2019-08-14 15:20:50",120979,13.86,135.6,0.53
"2019-08-14 15:21:00",120980,13.86,135.2,0.464
"2019-08-14 15:21:10",120981,13.86,134.6,0.663
"2019-08-14 15:21:20",120982,13.85,135,0.424
"2019-08-14 15:21:30",120983,13.86,108,52.04
"2019-08-14 15:21:40",120984,13.86,1.392,0.753
"2019-08-14 15:21:50",120985,13.86,553.1,0.679
"2019-08-14 15:22:00",120986,13.86,552.2,1.827
"2019-08-14 15:22:10",120987,13.86,549.5,0.785
"2019-08-14 15:22:20",120988,13.86,543.3,1.856
"2019-08-14 15:22:30",120989,13.85,541.7,0.985
"2019-08-14 15:22:40",120990,13.86,487.3,162.2
"2019-08-14 15:22:50",120991,13.86,2.585,2.187
"2019-08-14 15:23:00",120992,13.86,2.85,0.841
"2019-08-14 15:23:10",120993,13.86,119.8,39.37
"2019-08-14 15:23:20",120994,13.86,130.2,0.534
"2019-08-14 15:23:30",120995,13.86,129.9,0
"2019-08-14 15:23:40",120996,13.86,130.8,0.607
"2019-08-14 15:23:50",120997,13.86,132.2,0.902
"2019-08-14 15:24:00",120998,13.86,132,0.828
"2019-08-14 15:24:10",120999,13.86,52.83,63.22
"2019-08-14 15:24:20",121000,13.86,0.928,0.44
"2019-08-14 15:24:30",121001,13.86,-23.86,25.82
"2019-08-14 15:24:40",121002,13.85,176.8,93.7
"2019-08-14 15:24:50",121003,13.85,449.2,58.56
"2019-08-14 15:25:00",121004,13.85,592.4,26.67
"2019-08-14 15:25:10",121005,13.82,625.1,1.835
"2019-08-14 15:25:20",121006,13.82,621.6,2.935
"2019-08-14 15:25:30",121007,13.81,613.3,2.33
"2019-08-14 15:25:40",121008,13.8,607.3,2.746
"2019-08-14 15:25:50",121009,13.79,596.6,3.458
"2019-08-14 15:26:00",121010,13.79,579.1,9.94
"2019-08-14 15:26:10",121011,13.78,567.1,3.182
"2019-08-14 15:26:20",121012,13.78,568,0.551
"2019-08-14 15:26:30",121013,13.77,570.5,3.011
"2019-08-14 15:26:40",121014,13.76,565.1,2.376
"2019-08-14 15:26:50",121015,13.76,556.5,6.04
"2019-08-14 15:27:00",121016,13.76,547.3,2.516
"2019-08-14 15:27:10",121017,13.75,552.2,3.354
"2019-08-14 15:27:20",121018,13.75,539.2,4.231
"2019-08-14 15:27:30",121019,13.75,537.1,2.718
"2019-08-14 15:27:40",121020,13.74,530.7,4.012
"2019-08-14 15:27:50",121021,13.74,522.1,3.234
"2019-08-14 15:28:00",121022,13.73,520.3,2.724
"2019-08-14 15:28:10",121023,13.73,511.6,2.825
"2019-08-14 15:28:20",121024,13.73,509.7,3.444
"2019-08-14 15:28:30",121025,13.72,506,1.029
"2019-08-14 15:28:40",121026,13.72,500.5,4.234
"2019-08-14 15:28:50",121027,13.71,496.3,0.84
"2019-08-14 15:29:00",121028,13.71,494.4,2.529
"2019-08-14 15:29:10",121029,13.71,490.5,1.677
"2019-08-14 15:29:20",121030,13.7,486.4,3.217
"2019-08-14 15:29:30",121031,13.7,482.3,3.965
"2019-08-14 15:29:40",121032,13.7,476.1,1.416
"2019-08-14 15:29:50",121033,13.69,472,1.452
"2019-08-14 15:30:00",121034,13.69,470,1.909
"2019-08-14 15:30:10",121035,13.69,469.2,1.715
"2019-08-14 15:30:20",121036,13.68,465.5,1.653
"2019-08-14 15:30:30",121037,13.68,459.6,1.077
"2019-08-14 15:30:40",121038,13.68,455.7,0.949
"2019-08-14 15:30:50",121039,13.68,452.6,1.774
"2019-08-14 15:31:00",121040,13.67,449.6,1.455
