"DateTime";"FLORIANOPOLIS"
"2021-01-25 05:00:00";196
"2021-01-25 06:00:00";322
"2021-01-25 07:00:00";258
"2021-01-25 08:00:00";205
"2021-01-25 09:00:00";317
"2021-01-25 10:00:00";276
"2021-01-25 11:00:00";80
"2021-01-25 12:00:00";311
"2021-01-25 13:00:00";168
"2021-01-25 14:00:00";288
"2021-01-25 15:00:00";286
"2021-01-25 16:00:00";157
"2021-01-25 17:00:00";127
"2021-01-25 18:00:00";34
"2021-01-25 19:00:00";16
"2021-01-25 20:00:00";343
"2021-01-25 21:00:00";38
"2021-01-25 22:00:00";10
"2021-01-25 23:00:00";8
"2021-01-26 00:00:00";4
"2021-01-26 01:00:00";356
"2021-01-26 02:00:00";356
"2021-01-26 03:00:00";15
"2021-01-26 04:00:00";359
"2021-01-26 05:00:00";355
"2021-01-26 06:00:00";349
"2021-01-26 07:00:00";331
"2021-01-26 08:00:00";322
"2021-01-26 09:00:00";350
"2021-01-26 10:00:00";350
"2021-01-26 11:00:00";8
"2021-01-26 12:00:00";359
"2021-01-26 13:00:00";16
"2021-01-26 14:00:00";353
"2021-01-26 15:00:00";315
"2021-01-26 16:00:00";351
"2021-01-26 17:00:00";352
"2021-01-26 18:00:00";11
"2021-01-26 19:00:00";15
"2021-01-26 20:00:00";20
"2021-01-26 21:00:00";22
"2021-01-26 22:00:00";12
"2021-01-26 23:00:00";359
"2021-01-27 00:00:00";359
"2021-01-27 01:00:00";344
"2021-01-27 02:00:00";348
"2021-01-27 03:00:00";260
"2021-01-27 04:00:00";294
"2021-01-27 05:00:00";7
"2021-01-27 06:00:00";348
"2021-01-27 07:00:00";314
"2021-01-27 08:00:00";284
"2021-01-27 09:00:00";358
"2021-01-27 10:00:00";6
"2021-01-27 11:00:00";332
"2021-01-27 12:00:00";359
"2021-01-27 13:00:00";35
"2021-01-27 14:00:00";355
"2021-01-27 15:00:00";37
"2021-01-27 16:00:00";9
"2021-01-27 17:00:00";20
"2021-01-27 18:00:00";10
"2021-01-27 19:00:00";16
"2021-01-27 20:00:00";26
"2021-01-27 21:00:00";21
"2021-01-27 22:00:00";360
"2021-01-27 23:00:00";288
"2021-01-28 00:00:00";315
"2021-01-28 01:00:00";228
"2021-01-28 02:00:00";315
"2021-01-28 03:00:00";316
"2021-01-28 04:00:00";304
"2021-01-28 05:00:00";293
"2021-01-28 06:00:00";345
"2021-01-28 07:00:00";286
"2021-01-28 08:00:00";52
"2021-01-28 09:00:00";336
"2021-01-28 10:00:00";292
"2021-01-28 11:00:00";226
"2021-01-28 12:00:00";211
"2021-01-28 13:00:00";167
"2021-01-28 14:00:00";163
"2021-01-28 15:00:00";167
"2021-01-28 16:00:00";163
"2021-01-28 17:00:00";165
"2021-01-28 18:00:00";168
"2021-01-28 19:00:00";162
"2021-01-28 20:00:00";133
"2021-01-28 21:00:00";150
"2021-01-28 22:00:00";164
"2021-01-28 23:00:00";163
"2021-01-29 00:00:00";151
"2021-01-29 01:00:00";158
"2021-01-29 02:00:00";148
"2021-01-29 03:00:00";161
"2021-01-29 04:00:00";186
"2021-01-29 05:00:00";151
"2021-01-29 06:00:00";248
"2021-01-29 07:00:00";11
"2021-01-29 08:00:00";328
"2021-01-29 09:00:00";354
"2021-01-29 10:00:00";348
"2021-01-29 11:00:00";344
"2021-01-29 12:00:00";345
"2021-01-29 13:00:00";20
"2021-01-29 14:00:00";12
"2021-01-29 15:00:00";12
"2021-01-29 16:00:00";14
"2021-01-29 17:00:00";19
"2021-01-29 18:00:00";9
"2021-01-29 19:00:00";12
"2021-01-29 20:00:00";21
"2021-01-29 21:00:00";236
"2021-01-29 22:00:00";188
"2021-01-29 23:00:00";317
"2021-01-30 00:00:00";274
"2021-01-30 01:00:00";2
"2021-01-30 02:00:00";327
"2021-01-30 03:00:00";340
"2021-01-30 04:00:00";303
"2021-01-30 05:00:00";278
"2021-01-30 06:00:00";332
"2021-01-30 07:00:00";347
"2021-01-30 08:00:00";345
"2021-01-30 09:00:00";347
"2021-01-30 10:00:00";342
"2021-01-30 11:00:00";5
"2021-01-30 12:00:00";3
"2021-01-30 13:00:00";1
"2021-01-30 14:00:00";358
"2021-01-30 15:00:00";354
"2021-01-30 16:00:00";15
