"TOA5","IFSC02","CR1000","51714","CR1000.Std.32.03","CPU:PT100.CR1","46048","exp03"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","termopar_Avg","T108_Avg","T_Avg","termopar_Std","T108_Std","T_Std"
"TS","RN","","","","","","","",""
"","","Min","Smp","Avg","Avg","Avg","Std","Std","Std"
"2019-05-20 09:01:00",3,12.19,24.19,-0.478,-0.044,2.262,0.112,0.081,3.25
"2019-05-20 09:02:00",4,12.19,24.19,-0.562,-0.108,2.629,0.097,0.07,2.551
"2019-05-20 09:03:00",5,12.19,24.19,-0.527,-0.147,2.952,0.094,0.065,3.221
"2019-05-20 09:04:00",6,12.19,24.22,-0.508,-0.147,2.4,0.09,0.062,3.271
"2019-05-20 09:05:00",7,12.19,24.22,-0.492,-0.156,2.902,0.094,0.067,3.18
"2019-05-20 09:06:00",8,12.19,24.22,-0.494,-0.148,2.621,0.115,0.072,3.316
"2019-05-20 09:07:00",9,12.19,24.25,-0.547,-0.147,2.899,0.094,0.075,3.044
"2019-05-20 09:08:00",10,12.2,24.25,-0.394,-0.113,4.617,0,0,0
"2019-05-20 09:09:00",11,12.19,24.28,-0.41,-0.125,0.825,0.096,0.071,3.097
"2019-05-20 09:10:00",12,12.19,24.28,-0.398,-0.114,0.373,0.081,0.065,3.249
"2019-05-20 09:11:00",13,12.19,24.3,-0.423,-0.09,1.189,0.116,0.067,2.903
"2019-05-20 09:12:00",14,12.19,24.3,-0.386,-0.084,1.027,0.076,0.072,3.373
"2019-05-20 09:13:00",15,12.19,24.3,-0.389,-0.062,0.683,0.083,0.071,3.325
"2019-05-20 09:14:00",16,12.19,24.33,-0.318,-0.101,0.51,0.483,0.136,3.054
"2019-05-20 09:15:00",17,12.19,24.33,8.32,2.359,1.973,8.93,3.74,4.44
"2019-05-20 09:16:00",18,12.19,24.33,18.12,12.04,10.42,1.023,0.864,3.673
"2019-05-20 09:17:00",19,12.19,24.36,18.22,13.34,13.34,0.191,0.191,3.368
"2019-05-20 09:18:00",20,12.19,24.36,18.05,13.84,13.21,0.087,0.134,3.584
"2019-05-20 09:19:00",21,12.19,24.39,17.91,14.24,14.8,0.073,0.101,3.273
"2019-05-20 09:20:00",22,12.19,24.39,17.73,14.56,13.92,0.089,0.104,3.027
