Nivel de qualidade,Data,Hora UTC,Incerteza UTC,Lat,Lon,Incerteza Local ,Município ,Estado,Fenomeno,Itensidade,Informativo
3,20200814,1855,10,-270.770,-512.825,0.1,Tangará,SC,TOR,0.0,Horário estimado pelo radar de Chapecó. Danos na vegetação.
3,20200814,1855,10,-270.721,-512.886,0.1,Tangará,SC,TOR,0.0,Horário estimado pelo radar de Chapecó. Entrevista com morador que teve casa danificada. Morador fala em danos graves na Linha Petri. Rastro muito largo. Casa destruída no vale. Matas de pinus com árvores grossas todas decepadas.
3,20200814,1855,10,-270.834,-512.814,0.1,Tangará,SC,TOR,0.0,Horário estimado pelo radar de Chapecó. Árvores grande decepadas. Casas e ranchos destruídos.
3,20200814,1855,10,-270.854,-512.776,0.1,Tangará,SC,TOR,0.0,"Horário estimado pelo radar de Chapecó. Árvores grandes decepadas, casas e ranchos destruídos."
3,20200814,1855,10,-270.961,-512.720,0.1,Tangará,SC,TOR,0.0,Horário estimado pelo radar de Chapecó. Mata de araucária com muitas árvores decepadas.
3,20200814,1855,10,-270.880,-512.805,0.1,Tangará,SC,TOR,0.0,"Horário estimado pelo radar de Chapecó. Casa de alvenaria completamente destruída, ficando apenas na fundação. Móveis da casa foram para a mais de 100 metros do local. Duas criaças que estavam dentro de casa foram sugadas pelo tornado e pararam a dezenas de metros no campo, as duas se feriram uma delas desmaiou e sofreu um corte na cabeça, a outra diversas escoriação. O Banheiro da casa, todo de alvenaria, foi completamente destruído. (relato a partir de entrevista com a moradora da casa)."
3,20200814,1855,10,-270.877,-512.755,0.1,Tangará,SC,TOR,0.0,Horário estimado pelo radar de Chapecó. Pesque e pague destruído. Estrutura da casa de alvenaria com algumas paredes destruídas. Árvores decepadas ao redor.
3,20200814,1855,10,-270.683,-513.026,0.1,Ibicaré,SC,TOR,0.0,Horário estimado pelo radar de Chapecó. Danos amplos em matas de eucaliptos. Muitas árvores decepadas e caídas de maneira aleatória.
3,20200814,1900,10,-271.031,-512.516,0.1,Tangará,SC,TOR,0.0,"Horário estimado pelo radar de Chapecó. 50% do hospital Municipal Frei Rogério foi destelhado. 5 feridos na cidade. Danos leves a residências nas ruas Teofilo Kuhn e Rio Bonito, segundo Defesa Civil. https://www.nsctotal.com.br/noticias/granizo-no-oeste-de-santa-catarina-fotos-e-videos, https://g1.globo.com/sc/santa-catarina/noticia/2020/08/15/tornados-e-tempestades-com-granizo-deixam-rastro-de-destruicao-em-sc.ghtml, https://www.radiocatarinense.com.br/2020/08/temporal-provoca-destruicao-em-agua-doce/"
3,20200814,1900,10,-270.954,-512.605,0.1,Tangará,SC,TOR,0.0,Horário estimado pelo radar de Chapecó. Muitas casas destelhadas no Distrito Industrial I.
3,20200814,1900,10,-270.944,-512.636,0.1,Tangará,SC,TOR,0.0,Horário estimado pelo radar de Chapecó. Árvores com copas decepadas e casa danificada.
3,20200814,1905,5,-271.029,-512.493,0.1,Tangará,SC,TOR,0.0,"Horário estimado pelo radar de Chapecó. R. Padre Fridmundo, Centro. Árvores de tronco grosso decepadas. Rastro bem estreito e curto. Possível tornado satélite. https://g1.globo.com/sc/santa-catarina/noticia/2020/08/17/ao-menos-seis-cidades-de-sc-vao-decretar-emergencia-por-causa-de-tornados-e-temporais-diz-defesa-civil.ghtml"
3,20200814,1905,5,-271.129,-512.476,0.1,Tangará,SC,TOR,0.0,"Horário estimado por relato e radar de Chapecó. Posto aonde foi filmado tornado de dentro de um caminhão que virou. Outros caminhões foram virados e a estrutura do posto e da mecânica destruída. https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/08/18/ferido-tornado-santa-catarina-parede-atingido.htm, https://www.youtube.com/watch?v=boI8zecejpg&feature=youtu.be, https://radioalianca.com.br/geral/assista-motorista-que-teve-caminhao-virado-pelo-tornado-consegue-registrar-passagem-do-temporal"
3,20200814,1906,3,-271.150,-512.428,0.1,Tangará,SC,TOR,0.0,Horário estimado por relato e radar de Chapecó. Sobrado de alvenaria completamente destruída. Ficou apenas a fundação e algumas parede de pé. Entrevista com moradora
3,20200814,1907,5,-271.170,-512.347,0.1,Tangará,SC,TOR,0.0,Horário confirmado por moradora atingida. 4 funcionários feridos. Casa destruída no Distrito Industrial II. Valpasa indústria de papel destelhada. 10 milhoes de reais o prejuízo da empresa. https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/08/17/sc-empresa-estima-prejuizo-de-r-10-mi-com-tornados-destruicao-de-sonho.htm
3,20200814,1908,10,-271.254,-512.256,0.1,Tangará,SC,TOR,0.0,Horário estimado por relato e radar de Chapecó. Rastro intermitente. Empresa parcialmente destruída. https://www.canalrural.com.br/noticias/tornado-em-sc-pode-ter-provocado-prejuizo-de-r-50-milhoes-em-area-rural/
