cod;nome;período;valor
51;MT;2014;1358
52;GO;2014;2887
53;DF;2014;843
11;RO;2014;578
12;AC;2014;232
13;AM;2014;1240
14;RR;2014;158
15;PA;2014;3446
16;AP;2014;256
17;TO;2014;381
21;MA;2014;2462
22;PI;2014;717
23;CE;2014;4626
24;RN;2014;1602
25;PB;2014;1551
26;PE;2014;3358
26;PE;2015;3847
53;DF;2015;742
52;GO;2015;2997
51;MT;2015;1203
50;MS;2015;634
43;RS;2015;2944
42;SC;2015;957
41;PR;2015;2936
35;SP;2015;5427
33;RJ;2015;5067
32;ES;2015;1450
31;MG;2015;4532
29;BA;2015;6012
28;SE;2015;1303
11;RO;2015;600
12;AC;2015;217
13;AM;2015;1472
14;RR;2015;203
15;PA;2015;3675
16;AP;2015;293
17;TO;2015;503
21;MA;2015;2438
22;PI;2015;650
23;CE;2015;4163
24;RN;2015;1545
25;PB;2015;1522
27;AL;2015;1748
27;AL;2016;1820
11;RO;2016;703
12;AC;2016;363
13;AM;2016;1452
14;RR;2016;204
15;PA;2016;4223
16;AP;2016;381
17;TO;2016;577
21;MA;2016;2408
22;PI;2016;701
23;CE;2016;3642
24;RN;2016;1854
25;PB;2016;1355
26;PE;2016;4447
28;SE;2016;1465
29;BA;2016;7171
31;MG;2016;4622
32;ES;2016;1270
33;RJ;2016;6053
35;SP;2016;4870
41;PR;2016;3080
42;SC;2016;984
43;RS;2016;3225
50;MS;2016;671
51;MT;2016;1180
52;GO;2016;3036
53;DF;2016;760
53;DF;2017;610
21;MA;2017;2180
22;PI;2017;626
23;CE;2017;5433
24;RN;2017;2203
25;PB;2017;1341
26;PE;2017;5419
27;AL;2017;1813
28;SE;2017;1313
29;BA;2017;7487
31;MG;2017;4299
32;ES;2017;1521
33;RJ;2017;6416
35;SP;2017;4631
11;RO;2017;554
12;AC;2017;516
13;AM;2017;1674
14;RR;2017;248
15;PA;2017;4575
16;AP;2017;383
17;TO;2017;557
41;PR;2017;2759
42;SC;2017;1066
43;RS;2017;3316
50;MS;2017;659
51;MT;2017;1102
52;GO;2017;2901
53;DF;2018;530
11;RO;2018;476
12;AC;2018;409
13;AM;2018;1542
14;RR;2018;414
15;PA;2018;4528
16;AP;2018;426
17;TO;2018;570
21;MA;2018;1982
22;PI;2018;619
23;CE;2018;4900
24;RN;2018;1825
25;PB;2018;1244
26;PE;2018;4190
27;AL;2018;1441
28;SE;2018;1133
29;BA;2018;6787
31;MG;2018;3372
32;ES;2018;1165
33;RJ;2018;6455
35;SP;2018;3727
41;PR;2018;2443
42;SC;2018;843
43;RS;2018;2699
50;MS;2018;572
51;MT;2018;989
52;GO;2018;2675
11;RO;2019;447
28;SE;2019;973
29;BA;2019;6118
31;MG;2019;2893
32;ES;2019;1043
33;RJ;2019;3552
35;SP;2019;3361
41;PR;2019;2095
42;SC;2019;767
43;RS;2019;2184
50;MS;2019;491
51;MT;2019;895
52;GO;2019;2253
53;DF;2019;480
27;AL;2019;1115
26;PE;2019;3474
25;PB;2019;953
24;RN;2019;1346
23;CE;2019;2417
22;PI;2019;569
21;MA;2019;1704
17;TO;2019;456
16;AP;2019;361
15;PA;2019;3405
14;RR;2019;234
13;AM;2019;1592
12;AC;2019;325
15;PA;2020;2809
11;RO;2020;456
12;AC;2020;304
13;AM;2020;1326
14;RR;2020;237
16;AP;2020;387
17;TO;2020;484
21;MA;2020;2103
22;PI;2020;674
23;CE;2020;3992
24;RN;2020;1406
25;PB;2020;1141
26;PE;2020;3786
27;AL;2020;1292
28;SE;2020;981
29;BA;2020;7076
31;MG;2020;2743
32;ES;2020;1229
33;RJ;2020;4831
35;SP;2020;3396
41;PR;2020;2281
42;SC;2020;732
43;RS;2020;2094
50;MS;2020;491
51;MT;2020;987
52;GO;2020;2177
53;DF;2020;453
53;DF;2021;401
11;RO;2021;536
12;AC;2021;205
13;AM;2021;1816
14;RR;2021;258
15;PA;2021;2847
16;AP;2021;462
17;TO;2021;441
21;MA;2021;1999
22;PI;2021;766
23;CE;2021;3471
24;RN;2021;1179
25;PB;2021;1144
26;PE;2021;3439
27;AL;2021;1070
28;SE;2021;790
29;BA;2021;7206
31;MG;2021;2577
32;ES;2021;1253
33;RJ;2021;4693
35;SP;2021;3094
41;PR;2021;2348
42;SC;2021;712
43;RS;2021;1889
50;MS;2021;551
51;MT;2021;888
52;GO;2021;1812
33;RJ;2022;3762
50;MS;2022;550
51;MT;2022;1077
52;GO;2022;1687
53;DF;2022;357
11;RO;2022;601
12;AC;2022;238
13;AM;2022;1771
14;RR;2022;231
15;PA;2022;2901
16;AP;2022;358
17;TO;2022;454
21;MA;2022;1942
22;PI;2022;794
23;CE;2022;3030
24;RN;2022;1167
25;PB;2022;1105
26;PE;2022;3409
27;AL;2022;1136
28;SE;2022;770
29;BA;2022;6776
31;MG;2022;2699
32;ES;2022;1147
35;SP;2022;3212
41;PR;2022;2600
42;SC;2022;671
43;RS;2022;1964
12;AC;2023;209
35;SP;2023;2862
28;SE;2023;687
42;SC;2023;640
43;RS;2023;1968
17;TO;2023;433
14;RR;2023;207
11;RO;2023;526
24;RN;2023;907
33;RJ;2023;3704
41;PR;2023;1964
22;PI;2023;749
13;AM;2023;1571
26;PE;2023;3832
25;PB;2023;1070
15;PA;2023;2521
51;MT;2023;1143
50;MS;2023;503
31;MG;2023;2740
21;MA;2023;1951
52;GO;2023;1441
32;ES;2023;1183
53;DF;2023;321
27;AL;2023;1149
23;CE;2023;2970
29;BA;2023;5809
16;AP;2023;383
