ID;Estação;latitude;longitude;altitude
83660;MARAMBAIA;-23.05;-43.6;16
83663;PONTA DA ARMACAO;-22.88;-43.03;2
83665;FAZENDA SANTA SOFIA 83665;-21.43;-48.82;759
83666;USINA TAMOIO (IAA) 83666;-21.78;-48.17;780
83667;SERTAOZINHO;-21.13;-47.98;548
83668;RIBEIRAO PRETO;-21.12;-47.77;621
83669;SAO SIMAO;-21.46;-47.58;617
83670;SANTA RITA DO PASSA QUATRO;-21.67;-47.5;715
83671;PIRASSUNUNGA AEROPORTO;-21.98;-47.34;598
83672;ARACATUBA 83672;-21.2;-50.43;397
83674;LINS;-21.67;-49.75;426
83676;CATANDUVA;-21.12;-48.95;536
83678;JABOTICABAL;-21.25;-48.3;595
83680;POCOS DE CALDAS;-21.84;-46.57;1,260
83681;CALDAS (P. DE CALDAS);-21.92;-46.38;1,150
83682;MUZAMBINHO;-21.37;-46.53;1,040
83683;MACHADO;-21.68;-45.94;873
83684;TRES CORACOES;-21.7;-45.25;893
83685;CAMBUQUIRA 83685;-21.85;-45.3;950
83686;CAXAMBU;-21.92;-44.97;864
83687;LAVRAS;-21.23;-44.98;919
83688;SAO JOAO DEL REI 83688;-21.13;-44.27;991
83689;BARBACENA;-21.24;-43.78;1,171
83691;UBA;-21.12;-42.88;339
83692;JUIZ DE FORA;-21.77;-43.36;939
83693;LEOPOLDINA;-21.47;-42.73;280
83694;MURIAE;-21.13;-42.33;289
83695;ITAPERUNA;-21.2;-41.91;123
83696;SANTA MARIA MADALENA;-21.96;-42.01;620
83697;SAO FIDELIS;-21.62;-41.77;74
83698;CAMPOS;-21.74;-41.33;11
83699;BARRA DO ITABAPOANA 83699;-21.3;-40.98;4
83700;SAO TOME;-22.04;-41.05;4
83702;PONTA PORA;-22.55;-55.72;650
83703;PONTA PORA;-22.55;-55.7;660
83704;IVINHEMA;-22.3;-53.82;369
83705;CAMPOS DO JORDAO;-22.73;-45.58;1,704
83706;PINDAMONHANGABA;-22.97;-45.48;570
83707;PINDAMONHANGABA;-22.92;-45.5;560
83708;GUARATINGUETA;-22.79;-45.2;537
83709;PIQUETE 83709;-22.6;-45.17;646
83710;C DO BOCAINA;-23.72;-44.53;1,475
83711;BANDEIRANTES;-22.6;-44.47;545
83712;BANANAL 83712;-22.7;-44.32;560
83713;S J DO BARREIRO;-22.67;-44.58;509
83714;CAMPOS DO JORDAO;-22.75;-45.6;1,579
83715;CACHOEIRA GRACA;-23.6;-46.93;875
83716;PRESIDENTE PRUDENTE;-22.11;-51.38;436
83717;ASSIS-IA 83717;-22.65;-50.42;350
83718;CORDEIRO;-22.02;-42.36;485
83719;CABO FRIO;-22.98;-42.03;7
83720;PIRACICABA;-22.71;-47.62;575
83721;CAMPINAS AEROPORTO;-23;-47.13;661
83722;BAURU AEROPORTO;-22.34;-49.05;615
83723;JAU;-22.28;-48.55;580
83725;BROTAS 83725;-22.28;-48.13;660
83726;SAO CARLOS;-21.98;-47.88;856
83727;LIMEIRA;-22.62;-47.53;542
83728;LIMEIRA;-22.52;-47.42;689
83729;CAMPINAS-IA 83729;-22.9;-47.08;669
83730;MONTE ALEGRE DO SUL;-22.68;-46.67;777
83731;ESPIRITO SANTO DO PINHAL;-22.17;-46.73;9
83732;OURO FINO;-22.28;-46.37;925
83734;CRUZEIRO;-22.57;-44.95;514
83736;SAO LOURENCO;-22.13;-45.04;900
83737;PASSA QUATRO;-22.38;-44.97;920
83738;RESENDE;-22.45;-44.44;440
83739;VOLTA REDONDA - 83739;-23.5;-44.08;374
83741;SBSC (83741) IN RIO DE JANEIRO-SANTA CRUZ;-22.92;-43.72;
83742;VASSOURAS;-22.4;-43.67;437
83743;RIO DE JANEIRO;-22.9;-43.18;5
83744;ILHA RASA;-22.42;-42.97;75
83745;NOVA FRIBURGO 83745;-22.28;-42.53;856
83746;GALEAO AEROPORTO;-22.8;-43.25;6
83747;CABO FRIO 83747;-22.88;-42.02;3
83748;AFONSOS AEROPORTO;-22.88;-43.38;34
83749;MACAE;-22.34;-41.75;2
83750;ALTO DO ITATIAIA 83750;-22.42;-44.83;2,199
83752;BARREIRINHA;-22.45;-44.83;21
83753;VOLTA REDONDA - 83753;-22.48;-44.08;417
83754;PINHEIRAL 83754;-22.52;-44;385
83755;RIO DE JANEIRO;-22.9;-43.15;3
83757;PIRAI;-22.63;-43.9;545
